event,event_type,eventID,date,location,fight,fightID,weight_class,fight_duration,scheduled_rounds,result,fighter,fighterID,outcome,SigStr,StrAccuracy,SLPM,StrDef,takedown,takedownAcc,takedownDef,opp,oppID,oppOutcome,opp_SigStr,opp_StrAccuracy,opp_SLPM,opp_StrDef,opp_takedown,opp_takedownAcc,opp_takedownDef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 1: The Beginning,UFC,0001PPV,11/12/1993,"Denver, Colorado, USA",Gerard Gordeau vs Royce Gracie,0001UFC,Open Weight,1.73,No Limit,Submission,Royce Gracie,graciroy01,W,1,0.5,0.578034682,1,1,0.333333333,1,Gerard Gordeau,gordeger01,L,0,0,0,0.5,0,0,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 1: The Beginning,UFC,0001PPV,11/12/1993,"Denver, Colorado, USA",Jason DeLucia vs Trent Jenkins,0002UFC,Open Weight,0.87,No Limit,Submission,Jason DeLucia,delucjas01,W,3,0.333333333,3.448275862,0.857142857,1,0.5,1,Trent Jenkins,jenkitre01,L,1,0.142857143,1.149425287,0.666666667,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 1: The Beginning,UFC,0001PPV,11/12/1993,"Denver, Colorado, USA",Royce Gracie vs Ken Shamrock,0003UFC,Open Weight,0.95,No Limit,Submission,Royce Gracie,graciroy01,W,0,0,0,1,0,0,1,Ken Shamrock,shamrken01,L,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 1: The Beginning,UFC,0001PPV,11/12/1993,"Denver, Colorado, USA",Gerard Gordeau vs Kevin Rosier,0004UFC,Open Weight,0.98,No Limit,KO/TKO,Gerard Gordeau,gordeger01,W,11,0.647058824,11.2244898,1,0,0,1,Kevin Rosier,rosiekev01,L,0,0,0,0.352941176,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 1: The Beginning,UFC,0001PPV,11/12/1993,"Denver, Colorado, USA",Ken Shamrock vs Patrick Smith,0005UFC,Open Weight,1.82,No Limit,Submission,Ken Shamrock,shamrken01,W,1,1,0.549450549,0.5,1,0.5,1,Patrick Smith,smithpat01,L,4,0.5,2.197802198,0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 1: The Beginning,UFC,0001PPV,11/12/1993,"Denver, Colorado, USA",Royce Gracie vs Art Jimmerson,0006UFC,Open Weight,2.3,No Limit,Submission,Royce Gracie,graciroy01,W,0,0,0,1,1,1,1,Art Jimmerson,jimmeart01,L,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 1: The Beginning,UFC,0001PPV,11/12/1993,"Denver, Colorado, USA",Zane Frazier vs Kevin Rosier,0007UFC,Open Weight,4.33,No Limit,KO/TKO,Kevin Rosier,rosiekev01,W,15,0.555555556,3.464203233,0.571428571,0,0,1,Zane Frazier,frazizan01,L,12,0.428571429,2.771362587,0.444444444,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 1: The Beginning,UFC,0001PPV,11/12/1993,"Denver, Colorado, USA",Gerard Gordeau vs Teila Tuli,0008UFC,Open Weight,0.43,No Limit,KO/TKO,Gerard Gordeau,gordeger01,W,3,0.6,6.976744186,1,0,0,1,Teila Tuli,tulitei01,L,0,0,0,0.4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Royce Gracie vs Patrick Smith,0009UFC,Open Weight,1.28,No Limit,KO/TKO,Royce Gracie,graciroy01,W,4,1,3.125,0.5,1,0.5,1,Patrick Smith,smithpat01,L,1,0.5,0.78125,0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Royce Gracie vs Remco Pardoel,0010UFC,Open Weight,1.52,No Limit,Submission,Royce Gracie,graciroy01,W,0,0,0,1,1,0.5,1,Remco Pardoel,pardorem01,L,0,0,0,1,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Johnny Rhodes vs Patrick Smith,0011UFC,Open Weight,1.12,No Limit,Submission,Patrick Smith,smithpat01,W,5,0.416666667,4.464285714,0.555555556,0,0,1,Johnny Rhodes,rhodejoh01,L,4,0.444444444,3.571428571,0.583333333,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Jason DeLucia vs Royce Gracie,0012UFC,Open Weight,1.12,No Limit,Submission,Royce Gracie,graciroy01,W,0,0,0,1,0,0,0,Jason DeLucia,delucjas01,L,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Remco Pardoel vs Orlando Wiet,0013UFC,Open Weight,1.48,No Limit,KO/TKO,Remco Pardoel,pardorem01,W,7,1,4.72972973,0.5,1,1,1,Orlando Wiet,wietorla01,L,1,0.5,0.675675676,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Fred Ettish vs Johnny Rhodes,0014UFC,Open Weight,3.12,No Limit,Submission,Johnny Rhodes,rhodejoh01,W,13,0.448275862,4.166666667,0.428571429,0,0,1,Fred Ettish,ettisfre01,L,4,0.571428571,1.282051282,0.551724138,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Scott Morris vs Patrick Smith,0015UFC,Open Weight,0.5,No Limit,KO/TKO,Patrick Smith,smithpat01,W,13,0.764705882,26,1,0,0,1,Scott Morris,morrisco01,L,0,0,0,0.235294118,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Royce Gracie vs Minoki Ichihara,0016UFC,Open Weight,5.13,No Limit,Submission,Royce Gracie,graciroy01,W,2,0.5,0.389863548,0.571428571,1,1,1,Minoki Ichihara,ichihmin01,L,3,0.428571429,0.584795322,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Scott Baker vs Jason DeLucia,0017UFC,Open Weight,6.68,No Limit,Submission,Jason DeLucia,delucjas01,W,3,0.6,0.449101796,1,0,0,0,Scott Baker,bakersco01,L,0,0,0,0.4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Alberta Cerra Leon vs Remco Pardoel,0018UFC,Open Weight,9.85,No Limit,Submission,Remco Pardoel,pardorem01,W,4,0.666666667,0.406091371,0.666666667,1,1,1,Alberta Cerra Leon,leonalbe01,L,1,0.333333333,0.101522843,0.333333333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
