Name,Status,Place of Birth,Age,Height,Weight,Octagon Debut,Fighting style,Reach,Trains at,Leg reach
David Bielkheden,Not Fighting,"Stockholm, Sweden",44,70.00,157.00,"Mar. 1, 2008",,,,
Sung Bin Jo,Not Fighting,,30,71.00,145.00,"Jun. 1, 2019",MMA,72.00,,
Anthony Birchak,Not Fighting,"Tucson, United States",37,68.00,135.50,"Dec. 13, 2014",,69.00,Joel Diaz Boxing,39.00
Michael Bisping,Retired,"England, United Kingdom",44,73.00,186.00,"Jun. 24, 2006",,75.50,,44.50
Amaury Bitetti,Not Fighting,Brazil,54,0.00,0.00,"May. 17, 1996",,,,
Jason Black,Not Fighting,"Ottumwa, United States",50,68.00,156.00,"Jun. 12, 2007",,,,
Brad Blackburn,Not Fighting,"Los Angeles, United States",46,70.00,170.00,"Jul. 19, 2008",,,,
Tom Blackledge,Not Fighting,"Wigan, United Kingdom",,75.00,205.00,"Feb. 26, 2011",,,,
Byron Bloodworth,Not Fighting,United States,39,68.00,136.00,"Oct. 2, 2011",,,,
Mark Bocek,Not Fighting,"Toronto, Canada",41,68.00,156.00,"Jul. 7, 2007",,75.00,,
Galore Bofando,Not Fighting,,41,71.00,170.00,"Jul. 16, 2017",,72.00,,41.00
Roman Bogatov,Not Fighting,"Kostanay, Kazakhstan",32,68.00,155.50,"Jul. 11, 2020",,73.50,,39.00
Jerry Bohlander,Not Fighting,"Napa, United States",49,0.00,0.00,"Feb. 16, 1996",,,,
Jesse Bongfeldt,Not Fighting,Canada,42,72.00,185.00,"Dec. 12, 2010",,,,
Stephan Bonnar,Not Fighting,"Hammond, United States",46,76.00,205.00,"Apr. 9, 2005",,80.00,,
Steve Bosse,Not Fighting,Canada,41,71.50,205.00,"Jun. 27, 2015",,72.00,PRO GYM - Saint-Jean,40.00
Marcus Bossett,Not Fighting,United States,,0.00,0.00,"Dec. 16, 1994",,,,
Tai Bowden,Not Fighting,United States,,0.00,0.00,"May. 17, 1996",,,,
Melton Bowen,Not Fighting,"Irmo, United States",53,0.00,0.00,"Dec. 16, 1994",,,,
Brian Bowles,Not Fighting,"Charleston, United States",,67.00,135.00,"Mar. 4, 2011",,,,
Roger Bowling,Not Fighting,United States,41,69.00,155.00,"Mar. 4, 2012",,68.00,,
Joe Brammer,Not Fighting,"Des Moines, United States",39,68.00,156.00,"Dec. 5, 2009",,,,
Chris Brennan,Not Fighting,"Compton, United States",44,68.00,170.00,"Mar. 13, 1998",,,,
Jason Brilz,Not Fighting,"Bismarck, United States",47,71.00,204.00,"Sep. 17, 2008",,71.00,,
Aaron Brink,Not Fighting,United States,48,75.00,231.00,"Nov. 17, 2000",,,,
Jonathan Brookins,Released,"Portland, United States",,72.00,145.00,"Dec. 5, 2010",,,,
Rob Broughton,Not Fighting,"St. Helens, United Kingdom",40,74.00,258.00,"Oct. 16, 2010",,,,
Junie Browning,Not Fighting,"Lexington, United States",39,69.00,156.00,"Dec. 13, 2008",,,,
Jules Bruchez,Not Fighting,"Lafayette, United States",45,72.00,205.00,"Dec. 13, 2008",,,,
