fighter,fighterID,Status,Style,Age,Height,Weight,Debut,Reach,LegReach,Division
Aalon Cruz,cruzaal01,Not Fighting,MMA,33,72,155,"Jul. 30, 2019",78,42,Lightweight
Aaron Brink,brinkaar01,Not Fighting,Other,48,75,231,"Nov. 17, 2000",0,0,Heavyweight
Aaron Phillips,phillaar01,Not Fighting,Muay Thai,33,69,136,"May. 24, 2014",71,40,Bantamweight
Aaron Riley,rileyaar01,Not Fighting,Other,41,68,156,"May. 10, 2002",0,0,Lightweight
Aaron Rosa,rosaaaro01,Not Fighting,Other,40,76,205.5,"Jun. 12, 2011",0,0,Light Heavyweight
Aaron Simpson,simpsaar01,Not Fighting,Other,48,72,171,"Apr. 1, 2009",0,0,Welterweight
Aaron Wilkinson,wilkiaar01,Not Fighting,Other,0,72,155,"Dec. 5, 2010",0,0,Lightweight
Abdul Razak Alhassan,alhasabd01,Active,Judo,39,70,203,"Nov. 19, 2016",73,39,Middleweight
Abdul-Kareem Al-Selwady,alseabd01,Active,MMA,28,68,172.4,"Mar. 2, 2024",69,39,Lightweight
Abdul-Kerim Edilov,ediloabd01,Not Fighting,Other,31,74,204,"Sep. 2, 2017",78,42,Light Heavyweight
Abel Trujillo,trujiabe01,Not Fighting,Other,39,68,155.5,"Dec. 8, 2012",70,39,Lightweight
Abner Lloveras,lloveabn01,Not Fighting,Other,40,71,155,"Dec. 11, 2015",72,0,Lightweight
Abu Azaitar,azaitabu01,Not Fighting,Striker,37,69,203,"Jul. 22, 2018",76,41,Middleweight
Abubakar Nurmagomedov,nurmaabu01,Active,Other,33,71,170,"Nov. 9, 2019",72,39.5,Welterweight
Abus Magomedov,magomabu01,Active,MMA,34,74,185,"Sep. 3, 2022",78,43,Middleweight
Adam Cella,cellaada01,Not Fighting,Other,37,74,184,"Apr. 6, 2013",0,0,Middleweight
Adam Fugitt,fugitada01,Not Fighting,Freestyle,34,73,170.8,"Jul. 30, 2022",77,41,Welterweight
Adam Milstead,milstada01,Not Fighting,Other,35,75,204,"May. 30, 2016",76,42,Light Heavyweight
Adam Wieczorek,wieczada01,Not Fighting,Other,31,77,232.2,"Nov. 18, 2017",81,46,Heavyweight
Adam Yandiev,yandiada01,Not Fighting,Other,34,69,184,"Sep. 15, 2018",74,40,Middleweight
Adlan Amagov,amagoadl01,Retired,Other,36,74,171,"Jan. 8, 2012",0,0,Welterweight
Adrian Serrano,serraadr01,Not Fighting,Other,59,0,0,"Jun. 9, 2000",0,0,Welterweight
Adrian Yanez,yanezadr01,Not Fighting,Boxer,30,67,135.5,"Oct. 31, 2020",70,38,Bantamweight
Adriano Martins,martiadr01,Not Fighting,Other,40,69,156,"Jan. 13, 2013",72,40,Lightweight
Adriano Santos,santoadr01,Not Fighting,Other,0,0,0,"Oct. 16, 1998",0,0,Middleweight
Aiemann Zahabi,zahabaie01,Active,MMA,36,68,135.5,"Feb. 20, 2017",68.5,38,Bantamweight
Ailin Perez,perezail01,Active,Kung Fu,30,65,136.5,"Sep. 3, 2022",66,36,Women's Bantamweight
Aisling Daly,dalyaisl01,Retired,Other,35,62,116,"Dec. 12, 2014",64,37,Women's Strawweight
Aj Cunningham,cunniaj01,Active,Other,29,70,155.5,"Mar. 2, 2024",71,41,Lightweight
Aj Dobson,dobsoaj01,Active,Freestyle,31,73,185,"Feb. 12, 2022",76,43.5,Middleweight
Aj Fletcher,fletcaj01,Active,Striker,26,70,183,"Mar. 12, 2022",67,37,Welterweight
Akbarh Arreola,arreoakb01,Not Fighting,Other,40,70,155,"Jul. 26, 2014",71,40,Lightweight
Akihiro Gono,gonoakih01,Not Fighting,Other,48,69,171,"Nov. 17, 2007",0,0,Welterweight
Akira Corassani,corasaki01,Not Fighting,Other,40,68,145,"Sep. 29, 2012",67,0,Featherweight
Al Iaquinta,iaquial01,Active,Other,36,70,155.8,"Jun. 2, 2012",70,40,Lightweight
Alan Baudot,baudoala01,Not Fighting,Judo,35,75,253,"Oct. 10, 2020",79,44,Heavyweight
Alan Belcher,belchala01,Not Fighting,Other,39,74,185,"Aug. 26, 2006",75,0,Middleweight
Alan Jouban,joubaala01,Retired,Other,41,72,170.5,"Aug. 16, 2014",73.5,41,Welterweight
Alan Omer,omerala01,Not Fighting,Other,34,69,146,"Apr. 11, 2014",71,0,Featherweight
Alan Patrick,patriala01,Not Fighting,Grappler,39,70,156,"Oct. 9, 2013",74,42,Lightweight
